"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 22 09:52:21 WIB 2022","Thu Dec 22 09:52:22 WIB 2022","423","Automation Testing for Rest API","Integration BE End to End Test","tests.frmwrk.be.restapi.IntegrationE2ETest","tests.frmwrk.be.restapi.IntegrationE2ETest","createPR","Rest API Test of Create PR",""
"passed","Thu Dec 22 09:53:38 WIB 2022","Thu Dec 22 09:53:38 WIB 2022","229","Automation Testing for Rest API","Integration BE End to End Test","tests.frmwrk.be.restapi.IntegrationE2ETest","tests.frmwrk.be.restapi.IntegrationE2ETest","getTCDetails","Rest API Test of Get TC Details",""
"passed","Thu Dec 22 09:52:22 WIB 2022","Thu Dec 22 09:53:37 WIB 2022","75032","Automation Testing for Rest API","Integration BE End to End Test","tests.frmwrk.be.restapi.IntegrationE2ETest","tests.frmwrk.be.restapi.IntegrationE2ETest","UIActions","Submit RFQ, Create Offer, and Create TC from UI actions",""
"passed","Thu Dec 22 09:53:39 WIB 2022","Thu Dec 22 09:53:39 WIB 2022","356","Automation Testing for Rest API","Integration BE End to End Test","tests.frmwrk.be.restapi.IntegrationE2ETest","tests.frmwrk.be.restapi.IntegrationE2ETest","putApprovePO","Rest API Test of Approve PO",""
"passed","Thu Dec 22 09:53:39 WIB 2022","Thu Dec 22 09:53:40 WIB 2022","430","Automation Testing for Rest API","Integration BE End to End Test","tests.frmwrk.be.restapi.IntegrationE2ETest","tests.frmwrk.be.restapi.IntegrationE2ETest","postCreateInvoice","Rest API Test of Create Invoice",""
"passed","Thu Dec 22 09:53:37 WIB 2022","Thu Dec 22 09:53:38 WIB 2022","497","Automation Testing for Rest API","Integration BE End to End Test","tests.frmwrk.be.restapi.IntegrationE2ETest","tests.frmwrk.be.restapi.IntegrationE2ETest","getTCList","Rest API Test of Get TC List",""
"passed","Thu Dec 22 09:53:38 WIB 2022","Thu Dec 22 09:53:39 WIB 2022","379","Automation Testing for Rest API","Integration BE End to End Test","tests.frmwrk.be.restapi.IntegrationE2ETest","tests.frmwrk.be.restapi.IntegrationE2ETest","postCreatePO","Rest API Test of Create PO",""
"passed","Thu Dec 22 09:52:19 WIB 2022","Thu Dec 22 09:52:21 WIB 2022","1347","Automation Testing for Rest API","Integration BE End to End Test","tests.frmwrk.be.restapi.IntegrationE2ETest","tests.frmwrk.be.restapi.IntegrationE2ETest","loginCompany","Rest API Test of Login Authentication",""
"passed","Thu Dec 22 09:52:21 WIB 2022","Thu Dec 22 09:52:21 WIB 2022","209","Automation Testing for Rest API","Integration BE End to End Test","tests.frmwrk.be.restapi.IntegrationE2ETest","tests.frmwrk.be.restapi.IntegrationE2ETest","getCompanyList","Rest API Test of Get Vendor List",""
"passed","Thu Dec 22 09:53:39 WIB 2022","Thu Dec 22 09:53:39 WIB 2022","267","Automation Testing for Rest API","Integration BE End to End Test","tests.frmwrk.be.restapi.IntegrationE2ETest","tests.frmwrk.be.restapi.IntegrationE2ETest","postCreateGR","Rest API Test of Create GR",""
"passed","Thu Dec 22 09:53:38 WIB 2022","Thu Dec 22 09:53:38 WIB 2022","212","Automation Testing for Rest API","Integration BE End to End Test","tests.frmwrk.be.restapi.IntegrationE2ETest","tests.frmwrk.be.restapi.IntegrationE2ETest","putExportTC","Rest API Test of Put Export TC",""
"passed","Thu Dec 22 09:52:22 WIB 2022","Thu Dec 22 09:52:22 WIB 2022","148","Automation Testing for Rest API","Integration BE End to End Test","tests.frmwrk.be.restapi.IntegrationE2ETest","tests.frmwrk.be.restapi.IntegrationE2ETest","getDepartmentList","Rest API Test of Get Department List",""
"passed","Thu Dec 22 09:52:22 WIB 2022","Thu Dec 22 09:52:22 WIB 2022","322","Automation Testing for Rest API","Integration BE End to End Test","tests.frmwrk.be.restapi.IntegrationE2ETest","tests.frmwrk.be.restapi.IntegrationE2ETest","createRFQ","Rest API Test of Create RFQ",""
"passed","Thu Dec 22 09:52:21 WIB 2022","Thu Dec 22 09:52:21 WIB 2022","205","Automation Testing for Rest API","Integration BE End to End Test","tests.frmwrk.be.restapi.IntegrationE2ETest","tests.frmwrk.be.restapi.IntegrationE2ETest","getUserList","Rest API Test of Get User List",""
"passed","Thu Dec 22 09:52:21 WIB 2022","Thu Dec 22 09:52:21 WIB 2022","163","Automation Testing for Rest API","Integration BE End to End Test","tests.frmwrk.be.restapi.IntegrationE2ETest","tests.frmwrk.be.restapi.IntegrationE2ETest","getPTList","Rest API Test of Get Payment Terms List",""
